"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","242,277.0","N/A","469,013.6","N/A","N/A","Region"
"2","Europe","Europe","140,719.6","N/A","169,339.0","N/A","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","197,311.0","N/A","249,588.1","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","109,010.0","N/A","105,462.1","N/A","N/A","Region"
"5","South and Central America","South and Central America","135,142.0","N/A","116,792.7","N/A","N/A","Region"
"6","South-East Asia","South-East Asia","422,324.0","N/A","416,838.7","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","527,666.0","N/A","464,321.5","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","-","16,411.5","-","-","Country"
"9","Europe","Albania","1,152.0","-","490.6","-","-","Country"
"10","Middle East and North Africa","Algeria","-","-","13,793.3","-","-","Country"
"11","Western Pacific","American Samoa","-","-","15.8","-","-","Country"
"12","Europe","Andorra","-","-","10.5","-","-","Country"
"13","Africa","Angola","-","-","15,660.7","-","-","Country"
"14","North America and Caribbean","Anguilla","-","-","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","-","21.5","-","-","Country"
"16","South and Central America","Argentina","10,628.0","-","11,069.8","-","-","Country"
"17","Europe","Armenia","-","-","617.2","-","-","Country"
"18","North America and Caribbean","Aruba","-","-","18.6","-","-","Country"
"19","Western Pacific","Australia","4,171.0","-","4,983.5","-","-","Country"
"20","Europe","Austria","1,426.0","-","1,308.6","-","-","Country"
"21","Europe","Azerbaijan","-","-","2,393.6","-","-","Country"
"22","North America and Caribbean","Bahamas","84.0","-","84.5","-","-","Country"
"23","Middle East and North Africa","Bahrain","226.0","-","315.3","-","-","Country"
"24","South-East Asia","Bangladesh","54,708.0","-","43,756.4","-","-","Country"
"25","North America and Caribbean","Barbados","64.0","-","47.6","-","-","Country"
"26","Europe","Belarus","-","-","1,632.1","-","-","Country"
"27","Europe","Belgium","1,845.0","-","1,973.0","-","-","Country"
"28","North America and Caribbean","Belize","86.0","-","116.5","-","-","Country"
"29","Africa","Benin","-","-","5,195.1","-","-","Country"
"30","North America and Caribbean","Bermuda","-","-","11.2","-","-","Country"
"31","South-East Asia","Bhutan","-","-","191.5","-","-","Country"
"32","South and Central America","Bolivia (Plurinational State of)","3,365.0","-","3,526.6","-","-","Country"
"33","Europe","Bosnia and Herzegovina","-","-","465.7","-","-","Country"
"34","Africa","Botswana","-","-","791.6","-","-","Country"
"35","South and Central America","Brazil","58,042.0","-","43,762.9","-","-","Country"
"36","North America and Caribbean","British Virgin Islands","-","-","5.4","-","-","Country"
"37","Western Pacific","Brunei Darussalam","-","-","96.8","-","-","Country"
"38","Europe","Bulgaria","1,689.0","-","1,011.6","-","-","Country"
"39","Africa","Burkina Faso","-","-","9,477.8","-","-","Country"
"40","Africa","Burundi","-","-","5,521.5","-","-","Country"
"41","Africa","Cabo Verde","-","-","155.4","-","-","Country"
"42","Western Pacific","Cambodia","-","-","5,202.0","-","-","Country"
"43","Africa","Cameroon","6,754.0","-","11,374.1","-","-","Country"
"44","North America and Caribbean","Canada","6,454.0","-","5,995.7","-","-","Country"
"45","North America and Caribbean","Cayman Islands","-","-","15.6","-","-","Country"
"46","Africa","Central African Republic","-","-","2,117.3","-","-","Country"
"47","Africa","Chad","-","-","7,819.8","-","-","Country"
"48","Europe","Channel Islands","-","-","26.1","-","-","Country"
"49","South and Central America","Chile","4,685.0","-","3,653.0","-","-","Country"
"50","Western Pacific","China","350,695.0","-","254,115.2","-","-","Country"
"51","Western Pacific","China, Hong Kong SAR","1,176.0","-","982.7","-","-","Country"
"52","Western Pacific","China, Macao SAR","90.0","-","96.3","-","-","Country"
"53","South and Central America","Colombia","12,844.0","-","11,220.5","-","-","Country"
"54","Africa","Comoros","-","-","344.2","-","-","Country"
"55","Africa","Congo","1,351.0","-","2,316.6","-","-","Country"
"56","Western Pacific","Cook Islands","-","-","-","-","-","Country"
"57","South and Central America","Costa Rica","1,356.0","-","1,057.5","-","-","Country"
"58","Europe","Croatia","860.0","-","590.6","-","-","Country"
"59","South and Central America","Cuba","2,596.0","-","1,780.4","-","-","Country"
"60","North America and Caribbean","Curaçao","-","-","29.4","-","-","Country"
"61","Europe","Cyprus","201.0","-","200.0","-","-","Country"
"62","Europe","Czechia","1,955.0","-","1,695.8","-","-","Country"
"63","Africa","Côte d'Ivoire","8,169.0","-","11,187.4","-","-","Country"
"64","Western Pacific","Democratic People's Republic of Korea","-","-","5,113.3","-","-","Country"
"65","Africa","Democratic Republic of the Congo","24,474.0","-","42,136.3","-","-","Country"
"66","Europe","Denmark","880.0","-","946.3","-","-","Country"
"67","Africa","Djibouti","-","-","286.7","-","-","Country"
"68","North America and Caribbean","Dominica","-","-","17.0","-","-","Country"
"69","South and Central America","Dominican Republic","3,140.0","-","2,976.0","-","-","Country"
"70","South and Central America","Ecuador","4,805.0","-","4,859.9","-","-","Country"
"71","Middle East and North Africa","Egypt","26,732.0","-","35,268.8","-","-","Country"
"72","South and Central America","El Salvador","2,679.0","-","1,714.8","-","-","Country"
"73","Africa","Equatorial Guinea","-","-","533.9","-","-","Country"
"74","Africa","Eritrea","-","-","1,465.3","-","-","Country"
"75","Europe","Estonia","329.0","-","218.5","-","-","Country"
"76","Africa","Eswatini","-","-","433.2","-","-","Country"
"77","Africa","Ethiopia","29,532.0","-","46,634.5","-","-","Country"
"78","Europe","Faroe Islands","-","-","8.6","-","-","Country"
"79","Western Pacific","Fiji","309.0","-","261.0","-","-","Country"
"80","Europe","Finland","993.0","-","868.2","-","-","Country"
"81","Europe","France","11,805.0","-","11,444.5","-","-","Country"
"82","South and Central America","French Guiana","-","-","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","-","62.2","-","-","Country"
"84","Africa","Gabon","520.0","-","851.3","-","-","Country"
"85","Africa","Gambia","569.0","-","1,089.7","-","-","Country"
"86","Europe","Georgia","1,382.0","-","806.3","-","-","Country"
"87","Europe","Germany","13,889.0","-","11,778.5","-","-","Country"
"88","Africa","Ghana","9,158.0","-","11,705.4","-","-","Country"
"89","Europe","Greece","1,914.0","-","1,391.5","-","-","Country"
"90","Europe","Greenland","-","-","10.3","-","-","Country"
"91","North America and Caribbean","Grenada","-","-","26.9","-","-","Country"
"92","North America and Caribbean","Guadeloupe","-","-","-","-","-","Country"
"93","Western Pacific","Guam","-","-","40.2","-","-","Country"
"94","South and Central America","Guatemala","5,475.0","-","6,001.3","-","-","Country"
"95","Africa","Guinea","-","-","5,765.0","-","-","Country"
"96","Africa","Guinea-Bissau","-","-","840.3","-","-","Country"
"97","North America and Caribbean","Guyana","288.0","-","217.2","-","-","Country"
"98","North America and Caribbean","Haiti","3,200.0","-","3,705.7","-","-","Country"
"99","Europe","Holy See","-","-","0.1","-","-","Country"
