"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","N/A","N/A","589,563.9","N/A","N/A","Region"
"2","Europe","Europe","N/A","N/A","221,820.0","N/A","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","N/A","N/A","317,844.1","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","N/A","N/A","141,783.2","N/A","N/A","Region"
"5","South and Central America","South and Central America","N/A","N/A","156,962.8","N/A","N/A","Region"
"6","South-East Asia","South-East Asia","N/A","N/A","563,552.2","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","N/A","N/A","616,185.8","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","-","21,141.4","-","-","Country"
"9","Europe","Albania","-","-","680.4","-","-","Country"
"10","Middle East and North Africa","Algeria","-","-","16,817.6","-","-","Country"
"11","Western Pacific","American Samoa","-","-","20.8","-","-","Country"
"12","Europe","Andorra","-","-","14.4","-","-","Country"
"13","Africa","Angola","-","-","19,340.7","-","-","Country"
"14","North America and Caribbean","Anguilla","-","-","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","-","28.4","-","-","Country"
"16","South and Central America","Argentina","-","-","14,620.2","-","-","Country"
"17","Europe","Armenia","-","-","790.6","-","-","Country"
"18","North America and Caribbean","Aruba","-","-","25.7","-","-","Country"
"19","Western Pacific","Australia","-","-","6,530.6","-","-","Country"
"20","Europe","Austria","-","-","1,756.5","-","-","Country"
"21","Europe","Azerbaijan","-","-","3,031.9","-","-","Country"
"22","North America and Caribbean","Bahamas","-","-","117.0","-","-","Country"
"23","Middle East and North Africa","Bahrain","-","-","413.6","-","-","Country"
"24","South-East Asia","Bangladesh","-","-","59,226.7","-","-","Country"
"25","North America and Caribbean","Barbados","-","-","66.4","-","-","Country"
"26","Europe","Belarus","-","-","2,084.9","-","-","Country"
"27","Europe","Belgium","-","-","2,621.1","-","-","Country"
"28","North America and Caribbean","Belize","-","-","156.4","-","-","Country"
"29","Africa","Benin","-","-","6,520.6","-","-","Country"
"30","North America and Caribbean","Bermuda","-","-","15.1","-","-","Country"
"31","South-East Asia","Bhutan","-","-","260.3","-","-","Country"
"32","South and Central America","Bolivia (Plurinational State of)","-","-","4,667.8","-","-","Country"
"33","Europe","Bosnia and Herzegovina","-","-","628.6","-","-","Country"
"34","Africa","Botswana","-","-","1,022.0","-","-","Country"
"35","South and Central America","Brazil","-","-","59,701.5","-","-","Country"
"36","North America and Caribbean","British Virgin Islands","-","-","7.3","-","-","Country"
"37","Western Pacific","Brunei Darussalam","-","-","130.0","-","-","Country"
"38","Europe","Bulgaria","-","-","1,337.2","-","-","Country"
"39","Africa","Burkina Faso","-","-","11,857.9","-","-","Country"
"40","Africa","Burundi","-","-","6,786.5","-","-","Country"
"41","Africa","Cabo Verde","-","-","204.0","-","-","Country"
"42","Western Pacific","Cambodia","-","-","6,674.7","-","-","Country"
"43","Africa","Cameroon","-","-","14,315.4","-","-","Country"
"44","North America and Caribbean","Canada","-","-","7,999.8","-","-","Country"
"45","North America and Caribbean","Cayman Islands","-","-","20.8","-","-","Country"
"46","Africa","Central African Republic","-","-","2,727.2","-","-","Country"
"47","Africa","Chad","-","-","9,731.5","-","-","Country"
"48","Europe","Channel Islands","-","-","35.4","-","-","Country"
"49","South and Central America","Chile","-","-","4,888.5","-","-","Country"
"50","Western Pacific","China","-","-","336,356.3","-","-","Country"
"51","Western Pacific","China, Hong Kong SAR","-","-","1,248.6","-","-","Country"
"52","Western Pacific","China, Macao SAR","-","-","118.8","-","-","Country"
"53","South and Central America","Colombia","-","-","15,391.1","-","-","Country"
"54","Africa","Comoros","-","-","435.8","-","-","Country"
"55","Africa","Congo","-","-","2,910.6","-","-","Country"
"56","Western Pacific","Cook Islands","-","-","-","-","-","Country"
"57","South and Central America","Costa Rica","-","-","1,417.3","-","-","Country"
"58","Europe","Croatia","-","-","786.1","-","-","Country"
"59","South and Central America","Cuba","-","-","2,410.3","-","-","Country"
"60","North America and Caribbean","Curaçao","-","-","40.3","-","-","Country"
"61","Europe","Cyprus","-","-","273.7","-","-","Country"
"62","Europe","Czechia","-","-","2,203.0","-","-","Country"
"63","Africa","Côte d'Ivoire","-","-","14,144.8","-","-","Country"
"64","Western Pacific","Democratic People's Republic of Korea","-","-","6,954.5","-","-","Country"
"65","Africa","Democratic Republic of the Congo","-","-","51,972.9","-","-","Country"
"66","Europe","Denmark","-","-","1,285.7","-","-","Country"
"67","Africa","Djibouti","-","-","377.0","-","-","Country"
"68","North America and Caribbean","Dominica","-","-","22.7","-","-","Country"
"69","South and Central America","Dominican Republic","-","-","3,932.0","-","-","Country"
"70","South and Central America","Ecuador","-","-","6,415.3","-","-","Country"
"71","Middle East and North Africa","Egypt","-","-","44,084.2","-","-","Country"
"72","South and Central America","El Salvador","-","-","2,289.7","-","-","Country"
"73","Africa","Equatorial Guinea","-","-","663.2","-","-","Country"
"74","Africa","Eritrea","-","-","1,858.8","-","-","Country"
"75","Europe","Estonia","-","-","283.4","-","-","Country"
"76","Africa","Eswatini","-","-","564.0","-","-","Country"
"77","Africa","Ethiopia","-","-","59,765.8","-","-","Country"
"78","Europe","Faroe Islands","-","-","11.3","-","-","Country"
"79","Western Pacific","Fiji","-","-","336.7","-","-","Country"
"80","Europe","Finland","-","-","1,168.0","-","-","Country"
"81","Europe","France","-","-","15,354.1","-","-","Country"
"82","South and Central America","French Guiana","-","-","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","-","83.6","-","-","Country"
"84","Africa","Gabon","-","-","1,050.0","-","-","Country"
"85","Africa","Gambia","-","-","1,354.1","-","-","Country"
"86","Europe","Georgia","-","-","1,026.2","-","-","Country"
"87","Europe","Germany","-","-","15,843.4","-","-","Country"
"88","Africa","Ghana","-","-","14,896.6","-","-","Country"
"89","Europe","Greece","-","-","1,920.3","-","-","Country"
"90","Europe","Greenland","-","-","13.8","-","-","Country"
"91","North America and Caribbean","Grenada","-","-","34.4","-","-","Country"
"92","North America and Caribbean","Guadeloupe","-","-","-","-","-","Country"
"93","Western Pacific","Guam","-","-","53.9","-","-","Country"
"94","South and Central America","Guatemala","-","-","7,948.3","-","-","Country"
"95","Africa","Guinea","-","-","7,254.4","-","-","Country"
"96","Africa","Guinea-Bissau","-","-","1,053.3","-","-","Country"
"97","North America and Caribbean","Guyana","-","-","289.9","-","-","Country"
"98","North America and Caribbean","Haiti","-","-","4,854.7","-","-","Country"
"99","Europe","Holy See","-","-","0.2","-","-","Country"
"100","South and Central America","Honduras","-","-","4,067.0","-","-","Country"
"101","Europe","Hungary","-","-","1,878.0","-","-","Country"
"102","Europe","Iceland","-","-","87.6","-","-","Country"
"103","South-East Asia","India","-","-","485,464.9","-","-","Country"
"104","Western Pacific","Indonesia","-","-","94,061.5","-","-","Country"
"105","Middle East and North Africa","Iran (Islamic Republic of)","-","-","26,734.5","-","-","Country"
"106","Middle East and North Africa","Iraq","-","-","19,587.1","-","-","Country"
"107","Europe","Ireland","-","-","1,342.7","-","-","Country"
"108","Europe","Isle of Man","-","-","19.5","-","-","Country"
"109","Europe","Israel","-","-","3,116.9","-","-","Country"
"110","Europe","Italy","-","-","10,610.0","-","-","Country"
"111","North America and Caribbean","Jamaica","-","-","921.9","-","-","Country"
"112","Western Pacific","Japan","-","-","21,173.8","-","-","Country"
"113","Middle East and North Africa","Jordan","-","-","4,346.8","-","-","Country"
"114","Europe","Kazakhstan","-","-","6,730.7","-","-","Country"
"115","Africa","Kenya","-","-","27,049.8","-","-","Country"
"116","Western Pacific","Kiribati","-","-","54.0","-","-","Country"
"117","Middle East and North Africa","Kuwait","-","-","1,164.9","-","-","Country"
"118","Europe","Kyrgyzstan","-","-","2,667.8","-","-","Country"
"119","Western Pacific","Lao People's Democratic Republic","-","-","3,045.7","-","-","Country"
"120","Europe","Latvia","-","-","402.3","-","-","Country"
"121","Middle East and North Africa","Lebanon","-","-","2,211.8","-","-","Country"
"122","Africa","Lesotho","-","-","908.6","-","-","Country"
"123","Africa","Liberia","-","-","2,640.0","-","-","Country"
"124","Middle East and North Africa","Libya","-","-","2,478.8","-","-","Country"
"125","Europe","Liechtenstein","-","-","8.0","-","-","Country"
"126","Europe","Lithuania","-","-","536.5","-","-","Country"
"127","Europe","Luxembourg","-","-","133.6","-","-","Country"
"128","Africa","Madagascar","-","-","14,388.7","-","-","Country"
"129","Africa","Malawi","-","-","10,602.1","-","-","Country"
"130","Western Pacific","Malaysia","-","-","10,253.7","-","-","Country"
"131","South-East Asia","Maldives","-","-","134.2","-","-","Country"
"132","Africa","Mali","-","-","12,086.7","-","-","Country"
"133","Europe","Malta","-","-","84.2","-","-","Country"
"134","Western Pacific","Marshall Islands","-","-","22.7","-","-","Country"
"135","North America and Caribbean","Martinique","-","-","-","-","-","Country"
"136","Africa","Mauritania","-","-","2,368.8","-","-","Country"
"137","South-East Asia","Mauritius","-","-","301.8","-","-","Country"
"138","Africa","Mayotte","-","-","138.0","-","-","Country"
"139","North America and Caribbean","Mexico","-","-","44,403.8","-","-","Country"
"140","Western Pacific","Micronesia (Federated States of)","-","-","47.4","-","-","Country"
"141","Europe","Monaco","-","-","8.4","-","-","Country"
"142","Western Pacific","Mongolia","-","-","1,264.5","-","-","Country"
"143","Europe","Montenegro","-","-","151.9","-","-","Country"
"144","Middle East and North Africa","Morocco","-","-","12,882.2","-","-","Country"
"145","Africa","Mozambique","-","-","17,732.8","-","-","Country"
"146","Western Pacific","Myanmar","-","-","18,809.9","-","-","Country"
"147","Africa","Namibia","-","-","1,197.6","-","-","Country"
"148","Western Pacific","Nauru","-","-","4.2","-","-","Country"
"149","South-East Asia","Nepal","-","-","11,454.8","-","-","Country"
"150","Europe","Netherlands","-","-","3,678.2","-","-","Country"
"151","North America and Caribbean","Netherlands Antilles","-","-","-","-","-","Country"
"152","Western Pacific","New Caledonia","-","-","84.0","-","-","Country"
"153","Western Pacific","New Zealand","-","-","1,243.2","-","-","Country"
"154","South and Central America","Nicaragua","-","-","2,556.4","-","-","Country"
"155","Africa","Niger","-","-","15,199.3","-","-","Country"
"156","Africa","Nigeria","-","-","114,122.2","-","-","Country"
"157","Western Pacific","Niue","-","-","-","-","-","Country"
"158","Western Pacific","Northern Mariana Islands","-","-","22.0","-","-","Country"
"159","Europe","North Macedonia","-","-","456.7","-","-","Country"
"160","Europe","Norway","-","-","1,260.7","-","-","Country"
"161","Middle East and North Africa","Oman","-","-","1,437.1","-","-","Country"
"162","Middle East and North Africa","Pakistan","-","-","100,158.2","-","-","Country"
"163","Western Pacific","Palau","-","-","6.8","-","-","Country"
"164","South and Central America","Panama","-","-","1,509.8","-","-","Country"
"165","Western Pacific","Papua New Guinea","-","-","4,115.1","-","-","Country"
"166","South and Central America","Paraguay","-","-","2,724.7","-","-","Country"
"167","South and Central America","Peru","-","-","10,691.7","-","-","Country"
"168","Western Pacific","Philippines","-","-","43,323.3","-","-","Country"
"169","Europe","Poland","-","-","7,520.0","-","-","Country"
"170","Europe","Portugal","-","-","1,829.6","-","-","Country"
"171","South and Central America","Puerto Rico","-","-","614.3","-","-","Country"
"172","Middle East and North Africa","Qatar","-","-","519.7","-","-","Country"
"173","Africa","Réunion","-","-","-","-","-","Country"
"174","Western Pacific","Republic of Korea","-","-","8,687.3","-","-","Country"
"175","Europe","Republic of Moldova","-","-","838.3","-","-","Country"
"176","Europe","Romania","-","-","3,968.2","-","-","Country"
"177","Europe","Russian Federation","-","-","34,278.3","-","-","Country"
"178","Africa","Rwanda","-","-","6,598.9","-","-","Country"
"179","North America and Caribbean","Saint Kitts and Nevis","-","-","17.0","-","-","Country"
"180","North America and Caribbean","Saint Lucia","-","-","45.3","-","-","Country"
"181","North America and Caribbean","Saint Vincent and the Grenadines","-","-","32.9","-","-","Country"
"182","Western Pacific","Samoa","-","-","93.8","-","-","Country"
"183","Europe","San Marino","-","-","6.3","-","-","Country"
"184","Africa","Sao Tome and Principe","-","-","118.0","-","-","Country"
"185","Middle East and North Africa","Saudi Arabia","-","-","10,965.7","-","-","Country"
"186","Africa","Senegal","-","-","9,093.4","-","-","Country"
"187","Europe","Serbia","-","-","1,833.4","-","-","Country"
"188","Africa","Seychelles","-","-","30.0","-","-","Country"
"189","Africa","Sierra Leone","-","-","4,151.9","-","-","Country"
"190","Western Pacific","Singapore","-","-","987.7","-","-","Country"
"191","Europe","Slovakia","-","-","1,115.7","-","-","Country"
"192","Europe","Slovenia","-","-","407.8","-","-","Country"
"193","Western Pacific","Solomon Islands","-","-","352.2","-","-","Country"
"194","Africa","Somalia","-","-","9,387.6","-","-","Country"
"195","Africa","South Africa","-","-","22,175.4","-","-","Country"
"196","Africa","South Sudan","-","-","5,896.2","-","-","Country"
"197","Europe","Spain","-","-","8,933.7","-","-","Country"
"198","South-East Asia","Sri Lanka","-","-","6,709.6","-","-","Country"
"199","Middle East and North Africa","State of Palestine","-","-","2,509.5","-","-","Country"
"200","Middle East and North Africa","Sudan","-","-","22,624.3","-","-","Country"
"201","North America and Caribbean","Suriname","-","-","207.0","-","-","Country"
"202","Europe","Sweden","-","-","2,349.4","-","-","Country"
"203","Europe","Switzerland","-","-","1,734.7","-","-","Country"
"204","Middle East and North Africa","Syrian Arab Republic","-","-","7,193.8","-","-","Country"
"205","Western Pacific","Taiwan","-","-","4,163.9","-","-","Country"
"206","Europe","Tajikistan","-","-","4,466.4","-","-","Country"
"207","Western Pacific","Thailand","-","-","15,711.2","-","-","Country"
"208","Western Pacific","Timor-Leste","-","-","646.0","-","-","Country"
"209","Africa","Togo","-","-","4,334.0","-","-","Country"
"210","Western Pacific","Tokelau","-","-","-","-","-","Country"
"211","Western Pacific","Tonga","-","-","48.2","-","-","Country"
"212","North America and Caribbean","Trinidad and Tobago","-","-","369.0","-","-","Country"
"213","Middle East and North Africa","Tunisia","-","-","3,682.1","-","-","Country"
"214","Europe","Turkey","-","-","26,832.1","-","-","Country"
"215","Europe","Turkmenistan","-","-","2,364.3","-","-","Country"
"216","Western Pacific","Tuvalu","-","-","4.5","-","-","Country"
"217","Africa","Uganda","-","-","26,898.4","-","-","Country"
"218","Europe","Ukraine","-","-","8,949.9","-","-","Country"
"219","Middle East and North Africa","United Arab Emirates","-","-","1,920.3","-","-","Country"
"220","Europe","United Kingdom","-","-","15,746.2","-","-","Country"
"221","Africa","United Republic of Tanzania","-","-","33,293.9","-","-","Country"
"222","North America and Caribbean","United States of America","-","-","82,080.9","-","-","Country"
"223","South and Central America","Uruguay","-","-","947.3","-","-","Country"
"224","North America and Caribbean","US Virgin Islands","-","-","26.5","-","-","Country"
"225","Europe","Uzbekistan","-","-","12,321.7","-","-","Country"
"226","Western Pacific","Vanuatu","-","-","151.1","-","-","Country"
"227","South and Central America","Venezuela (Bolivarian Republic of)","-","-","10,169.7","-","-","Country"
"228","Western Pacific","Viet Nam","-","-","29,299.6","-","-","Country"
"229","Middle East and North Africa","Yemen","-","-","14,970.7","-","-","Country"
"230","Africa","Zambia","-","-","10,429.7","-","-","Country"
"231","Africa","Zimbabwe","-","-","7,914.4","-","-","Country"
